price_date,ticker,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
5/3/2012,JN2,113.7245455,114.7290818,112.3981818,113.6936364,5217827.273,105.281327,106.2112839,104.0534362,105.2527127,5217827.273
5/4/2012,JN2,113.3318182,114.3127182,112.0645455,113.2745455,4877809.091,104.9177569,105.8258322,103.7445699,104.8647362,4877809.091
5/7/2012,JN2,112.8427273,114.0118091,111.6981818,113.0563636,4686700,104.4649774,105.5472634,103.4054061,104.6627528,4686700
5/8/2012,JN2,112.7036364,113.8527182,111.4890909,112.84,4415636.364,104.336213,105.3999838,103.2118387,104.4624526,4415636.364
5/9/2012,JN2,112.3163636,113.3427182,111.0909091,112.22,4422472.727,103.9776924,104.9278476,102.8432189,103.8884831,4422472.727
5/10/2012,JN2,111.7209091,112.8199909,110.4909091,111.5236364,4387345.455,103.426446,104.443929,102.2877646,103.2438194,4387345.455
5/11/2012,JN2,110.8109091,111.7509,109.4463636,110.3936364,4936818.182,102.5840069,103.4542103,101.320769,102.1977136,4936818.182
5/14/2012,JN2,109.5954545,110.4854455,108.1718182,109.0627273,5488381.818,101.458791,102.2827066,100.1408493,100.9656148,5488381.818
5/15/2012,JN2,108.3181818,109.2554455,106.9145455,107.6736364,5617145.455,100.2763465,101.1440251,98.97691986,99.67965381,5617145.455
5/16/2012,JN2,107.0190909,107.9518091,105.4645455,106.1163636,5752472.727,99.07370358,99.93717424,97.63457179,98.23799723,5752472.727
5/17/2012,JN2,105.6072727,106.6309,104.0381818,104.5990909,5972363.636,97.76670261,98.71433302,96.31410526,96.83337094,5972363.636
5/18/2012,JN2,104.1118182,105.142,102.6009091,103.1409091,6184172.727,96.38227466,97.33597299,94.98353955,95.48344849,6184172.727
5/21/2012,JN2,102.6590909,103.9283636,101.2554545,102.0063636,6167318.182,95.0374018,96.21244028,93.7379752,94.43313477,6167318.182
5/22/2012,JN2,101.6,102.9365455,100.1918182,100.8690909,6401163.636,94.05694067,95.29425736,92.75330608,93.38029625,6401163.636
5/23/2012,JN2,100.4872727,101.8747273,99.07727273,99.83909091,6528781.818,93.02682528,94.31127144,91.7215075,92.42676624,6528781.818
5/24/2012,JN2,99.67090909,100.9529091,98.09363636,98.89090909,6565163.636,92.27107069,93.45789154,90.81089897,91.54898001,6565163.636
5/25/2012,JN2,98.57818182,99.90018182,97.22,98.01636364,6419872.727,91.25947046,92.48332159,90.00212374,90.73936318,6419872.727
5/29/2012,JN2,97.709,99.1922,96.389,97.414,5443920,90.497034,91.8704958,89.27432506,90.22430549,5443920
5/30/2012,JN2,97.363,98.7052,95.852,96.888,5449570,90.21879332,91.46181908,88.81827693,89.77852771,5449570
5/31/2012,JN2,96.798,98.1562,95.402,96.638,5353150,89.73703721,90.99563662,88.44246072,89.58873328,5353150
6/1/2012,JN2,96.348,97.5822,94.913,96.194,5254100,89.36138201,90.50524408,88.02988288,89.21801034,5254100
6/4/2012,JN2,95.871,97.094,94.468,95.745,5068890,88.9601613,90.09376803,87.65732469,88.84194495,5068890
6/5/2012,JN2,95.487,96.639,94.139,95.315,5005710,88.64425272,89.71301842,87.39222398,88.48399549,5005710
6/6/2012,JN2,95.103,96.151,93.7705,95.058,5061700,88.32924928,89.3026196,87.09151103,88.28739874,5061700
6/7/2012,JN2,95.092,96.05,93.5485,94.654,5121570,88.36111989,89.25154629,86.92658906,87.9542979,5121570
6/8/2012,JN2,94.623,95.684,93.2535,94.422,4940510,87.96768383,88.95398977,86.69391275,87.78066232,4940510
6/11/2012,JN2,94.57,95.582,92.8685,94.032,5125080,87.96039848,88.90166869,86.37781819,87.45999989,5125080
6/12/2012,JN2,94.41909091,95.44181818,92.83681818,94.03272727,4992663.636,87.82003659,88.77128433,86.34835065,87.46067634,4992663.636
6/13/2012,JN2,94.08363636,95.12727273,92.55409091,93.56545455,5007818.182,87.50802733,88.4787228,86.0853835,87.02606182,5007818.182
6/14/2012,JN2,93.74363636,94.88991818,92.38136364,93.49363636,4893981.818,87.19179031,88.25795723,85.92472832,86.95926309,4893981.818
6/15/2012,JN2,93.63272727,94.80991818,92.295,93.49,5017000,87.08863278,88.18354852,85.84440074,86.95588087,5017000
6/18/2012,JN2,93.73909091,94.90719091,92.39772727,93.58,4898518.182,87.18756254,88.27402275,85.93994829,87.03959067,4898518.182
6/19/2012,JN2,93.87909091,95.31173636,92.725,94.06818182,4895118.182,87.31777779,88.65029407,86.24434756,87.49365292,4895118.182
6/20/2012,JN2,94.42909091,95.72991818,93.14863636,94.46272727,4918609.091,87.82933768,89.0392487,86.63837552,87.86062316,4918609.091
6/21/2012,JN2,94.77090909,95.89355455,93.23636364,94.36636364,4843890.909,88.14726581,89.19144834,86.71997143,87.77099449,4843890.909
6/22/2012,JN2,94.65090909,95.69537273,93.22454545,94.33272727,4903145.455,88.03565275,89.00711767,86.70897924,87.73970901,4903145.455
6/25/2012,JN2,94.53545455,95.47355455,93.02181818,94.03090909,4979927.273,87.92826745,88.8008026,86.5204208,87.45898523,4979927.273
6/26/2012,JN2,94.12454545,95.02537273,92.81909091,93.87,4916863.636,87.54607724,88.38394471,86.33186236,87.30932225,4916863.636
6/27/2012,JN2,93.96818182,95.00264545,92.68272727,93.8,4908463.636,87.40064203,88.36280587,86.20502932,87.24421463,4908463.636
6/28/2012,JN2,93.85636364,94.92082727,92.59727273,93.87,4882900,87.29663895,88.28670605,86.12554729,87.30932225,4882900
6/29/2012,JN2,94.13545455,95.09272727,92.78,94.05545455,5045109.091,87.55622389,88.44659177,86.29550355,87.48181518,5045109.091
7/2/2012,JN2,94.39727273,95.23181818,93.03845455,94.18909091,4802354.545,87.79974331,88.57596146,86.53589443,87.60611155,4802354.545
7/3/2012,JN2,94.56909091,95.55,93.33936364,94.64090909,4635963.636,87.95955293,88.8719052,86.81577265,88.02635166,4635963.636
7/5/2012,JN2,94.716,95.419,93.3103,94.405,4449600,88.09619438,88.75006094,86.7887403,87.80693051,4449600
7/6/2012,JN2,94.5,95.332,93.3733,94.562,4223110,87.89529086,88.66914146,86.84733716,87.95295761,4223110
7/9/2012,JN2,94.452,95.335,93.4243,94.646,3963220,87.85064563,88.67193179,86.89477272,88.03108676,3963220
7/10/2012,JN2,94.702,95.625,93.6733,94.949,3908950,88.08317286,88.94166337,87.12636983,88.31290975,3908950
7/11/2012,JN2,94.941,95.989,94.0053,95.359,3935790,88.30546888,89.28022301,87.43516599,88.6942544,3935790
7/12/2012,JN2,95.256,96.084,94.2263,95.434,3896880,88.59845318,89.36858335,87.64072005,88.76401257,3896880
7/13/2012,JN2,95.539,96.5184,94.5733,95.828,3914770,88.861674,89.77262266,87.96346784,89.13047547,3914770
7/16/2012,JN2,95.711,96.7154,94.7173,96.01,3740540,89.02165273,89.95585411,88.09740352,89.29975529,3740540
7/17/2012,JN2,96.079,97.0344,94.876,96.095,4339170,89.36393281,90.25255885,88.2450118,89.37881455,4339170
7/18/2012,JN2,96.101,96.9384,94.831,95.886,4558380,89.3843952,90.16326839,88.2031569,89.18442179,4558380
7/19/2012,JN2,96.14636364,96.91127273,94.80545455,95.80545455,4704354.545,89.42658833,90.13803708,88.17939685,89.10950575,4704354.545
7/20/2012,JN2,95.80636364,96.64672727,94.64272727,95.64545455,4868627.273,89.1103513,89.891981,88.02804276,88.96068832,4868627.273
7/23/2012,JN2,95.56090909,96.41218182,94.33818182,95.43545455,5000300,88.88205184,89.67382818,87.74478233,88.76536545,5000300
7/24/2012,JN2,95.42818182,96.344,94.29636364,95.43545455,5107609.091,88.75860103,89.61041167,87.70588686,88.76536545,5107609.091
7/25/2012,JN2,95.44636364,96.47036364,94.45045455,95.59090909,5190363.636,88.7755121,89.72794361,87.84920819,88.90995511,5190363.636
7/26/2012,JN2,95.77,96.71854545,94.72318182,95.85727273,5241363.636,89.07652916,89.95877973,88.10287425,89.1577023,5241363.636
7/27/2012,JN2,96.14,97.38309091,95.16772727,96.55,5533200,89.42066945,90.57687937,88.51634994,89.8020141,5533200
7/30/2012,JN2,96.70636364,97.77545455,95.67227273,96.86363636,5448400,89.94744931,90.94182028,88.98563215,90.09373007,5448400
7/31/2012,JN2,96.93636364,98.10545455,96.03954545,97.15636364,5372127.273,90.16137435,91.24875621,89.32723578,90.36599831,5372127.273
8/1/2012,JN2,97.03,98.22090909,96.27954545,97.34818182,4789454.545,90.24846637,91.35614151,89.55046192,90.54441011,4789454.545
8/2/2012,JN2,97.13454545,98.33181818,96.32863636,97.46636364,4747363.636,90.34570503,91.45929904,89.59612181,90.65433207,4747363.636
8/3/2012,JN2,97.38427273,98.76097273,96.73318182,98.01,4485454.545,90.57797859,91.85845951,89.97239314,91.15997309,4485454.545
8/6/2012,JN2,98.00063636,99.44733636,97.33772727,98.72454545,4233163.636,91.15126389,92.49685243,90.53468624,91.82457818,4233163.636
8/7/2012,JN2,98.94972727,100.4437,98.3541,99.64090909,4149872.727,92.03402179,93.42357911,91.48002356,92.67689615,4149872.727
8/8/2012,JN2,99.77881818,101.2355182,99.16864545,100.3709091,3881636.364,92.80516662,94.16005625,92.23763954,93.35587564,3881636.364
8/9/2012,JN2,100.447,101.9000636,99.84637273,101.0654545,3724481.818,93.42664847,94.77815589,92.8679997,94.00187855,3724481.818
8/10/2012,JN2,100.9860909,102.3705182,100.3345545,101.5163636,3546681.818,93.92806173,95.21572985,93.32206196,94.42127311,3546681.818
8/13/2012,JN2,101.3624545,102.5450636,100.7372818,101.6954545,3147718.182,94.27812089,95.37807613,93.69664218,94.58784716,3147718.182
8/14/2012,JN2,101.6351818,102.8587,100.9700091,101.9118182,3101227.273,94.53178696,95.6697921,93.91310388,94.7890889,3101227.273
8/15/2012,JN2,101.9160909,103.1059727,101.2472818,102.1145455,2991090.909,94.793063,95.89978267,94.17099771,94.97764734,2991090.909
8/16/2012,JN2,102.097,103.3032455,101.5001,102.4236364,2929736.364,94.96132816,96.08326779,94.40614615,95.26513554,2929736.364
8/17/2012,JN2,102.5797273,103.7505182,102.0528273,102.95,2796054.545,95.41031709,96.49928013,94.92024271,95.75471105,2796054.545
